Item Name,Package Weight,Package Length,Package Height,Package Width,SKU
P1INBA,0.066,3.00,1.50,1.50,P1INBA
P1MA,0.079,2.25,2.00,2.00,P1MA
P1MFA,0.071,2.50,1.50,1.50,P1MFA
P1SF,0.665,7.75,2.50,2.50,P1SF
P1SPBVS,0.34,3.30,2.00,3.30,P1SPBVS
P1SPBVT,0.357,3.40,2.10,3.40,P1SPBVT
P1ST90,0.17,2.70,1.70,2.70,P1ST90
P1STT,0.204,3.60,1.70,2.60,P1STT
P1SU,0.333,2.70,2.60,2.60,P1SU
P1T,0.167,3.60,1.60,2.60,P1T
P1T90,0.194,3.00,2.00,3.00,P1T90
P1TAD,0.26,2.90,1.90,2.90,P1TAD
P1TBLK,0.162,3.70,1.70,2.70,P1TBLK
P1TC,0.105,2.25,2.00,2.00,P1TC
P1TCA,0.072,1.80,1.40,1.80,P1TCA
P1TP,0.051,1.10,1.50,1.50,P1TP
P1TT,0.195,3.20,1.60,2.40,P1TT
P1TU,0.354,2.70,2.90,2.90,P1TU
P2112B,0.16,2.70,1.60,2.70,P2112B
P2112STB,0.116,2.70,1.60,2.70,P2112STB
P2112TTB,0.117,1.25,2.75,2.75,P2112TTB
P21B,0.205,2.70,1.70,2.70,P21B
P21RT,0.408,4.60,1.70,3.90,P21RT
P21STB,0.252,2.70,1.70,2.70,P21STB
P234B,0.177,2.70,1.70,2.70,P234B
P234STB,0.128,2.70,1.60,2.70,P234STB
P234STT,0.377,4.30,2.80,3.90,P234STT
P23N,0.212,2.90,2.30,2.30,P23N
P245,0.336,4.30,2.80,3.80,P245
P290,0.414,6.00,2.70,4.20,P290
P2BVS,1.481,6.00,4.00,5.00,P2BVS
P2BVT,1.592,7.00,3.40,5.50,P2BVT
P2C,0.224,3.00,2.75,2.75,P2C
P2CA,0.177,2.60,2.20,2.20,P2CA
P2CC,1.113,7.50,3.50,3.80,P2CC
P2FA,0.215,2.75,2.75,2.75,P2FA
P2INBA,0.168,3.30,2.40,2.40,P2INBA
P2MA,0.222,2.80,2.70,2.70,P2MA
P2SF,1.523,10.00,3.80,3.80,P2SF
P2SU,0.868,4.20,4.20,3.60,P2SU
P2T,0.525,5.70,4.20,2.70,P2T
P2TAD,0.80,2.00,5.00,5.00,P2TAD
P2TU,0.909,4.50,3.50,4.50,P2TU
P3412RMA,0.182,0.00,0.00,0.00,P3412RMA
P3412SOL,0.117,2.30,2.30,2.20,P3412SOL
P34FLEX,0.44,18.00,1.50,1.50,P34FLEX
P34SPBVS,0.24,3.25,3.00,3.00,P34SPBVS
P34SPBVT,0.254,3.50,2.50,3.00,P34SPBVT
P34UNBV,0.78,6.50,5.00,5.00,P34UNBV
PCBG4,0.36,3.50,2.25,2.25,PCBG4
PCBG8,0.75,4.00,3.00,3.00,PCBG8
PCBGPT,1.60,4.50,3.50,3.50,PCBGPT
PCPP8,0.00,0.00,0.00,0.00,PCPP8
PCTEF,0.025,0.75,2.00,2.00,PCTEF
PCTEFSM,0.01,0.75,2.375,2.375,PCTEFSM
